,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
0,original-array-6aa3cda777442d73673ea19694857783,,,original-array,original-array,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.301979
1,original-array-6aa3cda777442d73673ea19694857783,,,original-array,original-array,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3064578
2,"('array-6aa3cda777442d73673ea19694857783', 0, 0, 0)",,,array,array-6aa3cda777442d73673ea19694857783,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3078501
3,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 7, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3112464
4,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 7, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3128812
5,"('random_sample-c174146ff8964021504e2af2c920de85', 7, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3145707
6,"('random_sample-c174146ff8964021504e2af2c920de85', 7, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3164978
7,"('add-52995fce93ff355636fb897843eefa3e', 7, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3186612
8,"('mul-77b98ebe198d5df46ca992041164c8ec', 7, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3210323
9,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 7, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3232014
10,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 6, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3254185
11,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 6, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3276532
12,"('random_sample-c174146ff8964021504e2af2c920de85', 6, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3295455
13,"('random_sample-c174146ff8964021504e2af2c920de85', 6, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3321874
14,"('add-52995fce93ff355636fb897843eefa3e', 6, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.336309
15,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 7, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3404756
16,"('mul-77b98ebe198d5df46ca992041164c8ec', 6, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3448782
17,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 6, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.349008
18,"('chunk_max-partial-12c7b07dde288d2291a26129193a9530', 3, 0, 0)",,,chunk_max-partial,chunk_max-partial-12c7b07dde288d2291a26129193a9530,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3531144
19,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 6, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3573647
20,"('chunk_min-partial-d186507a51f2d2eeb1fe03c28b1da4da', 3, 0, 0)",,,chunk_min-partial,chunk_min-partial-d186507a51f2d2eeb1fe03c28b1da4da,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3615994
21,"('chunk_min-ce55fed4cb00e797a3e767e8d9366298', 7, 0, 0)",,,chunk_min,chunk_min-ce55fed4cb00e797a3e767e8d9366298,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3657506
22,"('chunk_min-ce55fed4cb00e797a3e767e8d9366298', 6, 0, 0)",,,chunk_min,chunk_min-ce55fed4cb00e797a3e767e8d9366298,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3701482
23,"('chunk_min-partial-2fc35a3958451b40e6cc2e47637740be', 3, 0, 0)",,,chunk_min-partial,chunk_min-partial-2fc35a3958451b40e6cc2e47637740be,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3744125
24,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 5, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3786862
25,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 5, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.383497
26,"('random_sample-c174146ff8964021504e2af2c920de85', 5, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3880177
27,"('random_sample-c174146ff8964021504e2af2c920de85', 5, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3925989
28,"('add-52995fce93ff355636fb897843eefa3e', 5, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.3968306
